Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"MELODIC: Selection and Integration of Open Source to Build an Autonomic Cross-Cloud Deployment Platform","Software Technology: Methods and Tools","","","","10.1007/978-3-030-29852-4_31","Geir HornPaweł SkrzypekMarcin PrusińskiKatarzyna MaterkaVassilis StefanidisYiannis Verginadis","2019","http://link.springer.com/chapter/10.1007/978-3-030-29852-4_31","Chapter"
"A Systematic Mapping Study of Specification Languages in Cloud Services Development","Technology Trends","","","","10.1007/978-3-030-05532-5_6","Jorge Bermeo ContoMiguel Zúñiga-PrietoLizandro Solano-Quinde","2019","http://link.springer.com/chapter/10.1007/978-3-030-05532-5_6","Chapter"
"Towards an Optimized, Cloud-Agnostic Deployment of Hybrid Applications","Business Information Systems","","","","10.1007/978-3-030-20485-3_34","Kyriakos KritikosPaweł Skrzypek","2019","http://link.springer.com/chapter/10.1007/978-3-030-20485-3_34","Chapter"
"Advantages of Using Cloud Computing in Software Architecture","Fundamental Research in Electrical Engineering","","","","10.1007/978-981-10-8672-4_24","Alireza MohseniMehrpooya Ahmadalinejad","2019","http://link.springer.com/chapter/10.1007/978-981-10-8672-4_24","Chapter"
"Taxonomy and Resource Modeling in Combined Fog-to-Cloud Systems","Proceedings of the Future Technologies Conference (FTC) 2018","","","","10.1007/978-3-030-02686-8_52","Souvik SenguptaJordi GarciaXavi Masip-Bruin","2019","http://link.springer.com/chapter/10.1007/978-3-030-02686-8_52","Chapter"
"Stakeholder-Oriented and Enterprise Architecture Driven Cloud Service Selection","Business Information Systems Workshops","","","","10.1007/978-3-030-04849-5_12","Sabrina KurjakovicKnut Hinkelmann","2019","http://link.springer.com/chapter/10.1007/978-3-030-04849-5_12","Chapter"
"A Proposal of a Cloud-Oriented Security and Performance Simulator Provided as-a-Service","Complex, Intelligent, and Software Intensive Systems","","","","10.1007/978-3-319-93659-8_93","Valentina CasolaAlessandra De BenedictisMassimiliano RakUmberto Villano","2019","http://link.springer.com/chapter/10.1007/978-3-319-93659-8_93","Chapter"
"Attack Tolerance for Services-Based Applications in the Cloud","Testing Software and Systems","","","","10.1007/978-3-030-31280-0_15","Georges OuffouéFatiha ZaïdiAna R. Cavalli","2019","http://link.springer.com/chapter/10.1007/978-3-030-31280-0_15","Chapter"
"SMT-Based Modeling and Verification of Cloud Applications","Services – SERVICES 2019","","","","10.1007/978-3-030-23381-5_1","Xiyue ZhangMeng Sun","2019","http://link.springer.com/chapter/10.1007/978-3-030-23381-5_1","Chapter"
"Multi-cloud Services Configuration Based on Risk Optimization","On the Move to Meaningful Internet Systems: OTM 2019 Conferences","","","","10.1007/978-3-030-33246-4_45","Oscar González-RojasJuan Tafurth","2019","http://link.springer.com/chapter/10.1007/978-3-030-33246-4_45","Chapter"
"SmartHealth Simulation Representing a Hybrid Architecture Over Cloud Integrated with IoT","Advances in Information and Communication Networks","","","","10.1007/978-3-030-03405-4_31","Sarah ShafqatAlmas AbbasiTehmina AmjadHafiz Farooq Ahmad","2019","http://link.springer.com/chapter/10.1007/978-3-030-03405-4_31","Chapter"
