Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Software Process Lines: A Systematic Literature Review","Software Process Improvement and Capability Determination","","","","10.1007/978-3-319-13036-1_11","Daniel Dias de CarvalhoLarissa Fernandes ChagasAdailton Magalhães LimaCarla Alessandra Lima Reis","2014","http://link.springer.com/chapter/10.1007/978-3-319-13036-1_11","Chapter"
"A Systematic Literature Review of Blockchain Technology for Smart Villages","Archives of Computational Methods in Engineering","","","","10.1007/s11831-021-09659-7","Parminder KaurAnshu Parashar","2021","http://link.springer.com/article/10.1007/s11831-021-09659-7","Article"
"Enterprise architecture framework evaluation criteria: a literature review and artifact development","Service Oriented Computing and Applications","","14","3","10.1007/s11761-020-00294-x","Pierre HadayaAbderrahmane LeshobPhilippe MarchildonIstvan Matyas-Balassy","2020","http://link.springer.com/article/10.1007/s11761-020-00294-x","Article"
"Security Risk Assessment of Multi-cloud System Adoption: Review and Open Research Issues","Big Data and Smart Digital Environment","","","","10.1007/978-3-030-12048-1_37","Saadia DrissiSoukaina ElhasnaouiHajar IguerSiham BenhadouHicham Medromi","2019","http://link.springer.com/chapter/10.1007/978-3-030-12048-1_37","Chapter"
"Code Reusability and Transparency of Agent-Based Modeling: A Review from a Cyberinfrastructure Perspective","High Performance Computing for Geospatial Applications","","","","10.1007/978-3-030-47998-5_7","Wenwu TangVolker GrimmLeigh TesfatsionEric ShookDavid BennettLi AnZhaoya GongXinyue Ye","2020","http://link.springer.com/chapter/10.1007/978-3-030-47998-5_7","Chapter"
"A Systematic Literature Review on Big Data Extraction, Transformation and Loading (ETL)","Intelligent Computing","","","","10.1007/978-3-030-80126-7_24","Joshua C. NwokejiRichard Matovu","2021","http://link.springer.com/chapter/10.1007/978-3-030-80126-7_24","Chapter"
"Industrial deployment of multi-agent technologies: review and selected case studies","Autonomous Agents and Multi-Agent Systems","","17","3","10.1007/s10458-008-9050-0","Michal PěchoučekVladimír Mařík","2008","http://link.springer.com/article/10.1007/s10458-008-9050-0","Article"
"A Systematic Review of Agent-Based Test Case Generation for Regression Testing","Arabian Journal for Science and Engineering","","43","2","10.1007/s13369-017-2796-4","Pardeep Kumar AroraRajesh Bhatia","2018","http://link.springer.com/article/10.1007/s13369-017-2796-4","Article"
"The implementation of virtual reality in digital factory—a comprehensive review","The International Journal of Advanced Manufacturing Technology","","115","5 - 6","10.1007/s00170-021-07240-x","Sivadas Chandra SekaranHwa Jen YapSiti Nurmaya MusaKan Ern LiewChee Hau TanAtikah Aman","2021","http://link.springer.com/article/10.1007/s00170-021-07240-x","Article"
"Web Service Clustering Approaches to Enhance Service Discovery: A Review","Recent Innovations in Computing","","","","10.1007/978-981-15-8297-4_3","Neha AgarwalGeeta SikkaLalit Kumar Awasthi","2021","http://link.springer.com/chapter/10.1007/978-981-15-8297-4_3","Chapter"
"An Ontology for Privacy Requirements via a Systematic Literature Review","Journal on Data Semantics","","9","4","10.1007/s13740-020-00116-5","Mohamad GharibPaolo GiorginiJohn Mylopoulos","2020","http://link.springer.com/article/10.1007/s13740-020-00116-5","Article"
"Improving manual reviews in function-centered engineering of embedded systems using a dedicated review model","Software and Systems Modeling","","18","6","10.1007/s10270-019-00723-2","Marian DaunThorsten WeyerKlaus Pohl","2019","http://link.springer.com/article/10.1007/s10270-019-00723-2","Article"
"Model-based test case generation and prioritization: a systematic literature review","Software and Systems Modeling","","","","10.1007/s10270-021-00924-8","Muhammad Luqman Mohd-ShafieWan Mohd Nasir Wan KadirHorst LichterMuhammad KhatibsyarbiniMohd Adham Isa","2021","http://link.springer.com/article/10.1007/s10270-021-00924-8","Article"
"A Systematic Review and Analytical Evaluation of Security Requirements Engineering Approaches","Arabian Journal for Science and Engineering","","44","11","10.1007/s13369-019-04067-3","Malik Nadeem Anwar MohammadMohammed NazirKhurram Mustafa","2019","http://link.springer.com/article/10.1007/s13369-019-04067-3","Article"
"Summary, Critical Review and Outlook","Integrated Computational Life Cycle Engineering for Traction Batteries","","","","10.1007/978-3-030-82934-6_6","Felipe Cerdas","2022","http://link.springer.com/chapter/10.1007/978-3-030-82934-6_6","Chapter"
"A Review of IoT Technologies, Standards, Tools, Frameworks and Platforms","The Internet of Things in the Industrial Sector","","","","10.1007/978-3-030-24892-5_1","Eldar SultanowAlina Chircu","2019","http://link.springer.com/chapter/10.1007/978-3-030-24892-5_1","Chapter"
"Artifact Types in Information Systems Design Science – A Literature Review","Global Perspectives on Design Science Research","","","","10.1007/978-3-642-13335-0_6","Philipp OffermannSören BlomMarten SchönherrUdo Bub","2010","http://link.springer.com/chapter/10.1007/978-3-642-13335-0_6","Chapter"
"A Review of Extant M&S Literature Through Journal Profiling and Co-citation Analysis","Concepts and Methodologies for Modeling and Simulation","","","","10.1007/978-3-319-15096-3_15","Navonil MustafeeKorina KatsaliakiPaul Fishwick","2015","http://link.springer.com/chapter/10.1007/978-3-319-15096-3_15","Chapter"
"Applications of ontologies in requirements engineering: a systematic review of the literature","Requirements Engineering","","21","4","10.1007/s00766-015-0222-6","Diego DermevalJéssyka VilelaIg Ibert BittencourtJaelson CastroSeiji IsotaniPatrick BritoAlan Silva","2016","http://link.springer.com/article/10.1007/s00766-015-0222-6","Article"
"Foundational Ontologies for Semantic Integration in EAI: A Systematic Literature Review","Collaborative, Trusted and Privacy-Aware e/m-Services","","","","10.1007/978-3-642-37437-1_20","Julio Cesar NardiRicardo de Almeida FalboJoão Paulo A. Almeida","2013","http://link.springer.com/chapter/10.1007/978-3-642-37437-1_20","Chapter"
"Knowledge Extraction and Discovery Based on BIM: A Critical Review and Future Directions","Archives of Computational Methods in Engineering","","29","1","10.1007/s11831-021-09576-9","Zhen-Zhong HuShuo LengJia-Rui LinSun-Wei LiYa-Qi Xiao","2022","http://link.springer.com/article/10.1007/s11831-021-09576-9","Article"
"Towards Supporting International Standard-Based Software Engineering Approaches Using Semantic Web Technologies: A Systematic Literature Review","Technologies and Innovation","","","","10.1007/978-3-319-48024-4_14","Ricardo Colomo-PalaciosLuis Omar Colombo-MendozaRafael Valencia-García","2016","http://link.springer.com/chapter/10.1007/978-3-319-48024-4_14","Chapter"
"Modelling Notations for IoT-Aware Business Processes: A Systematic Literature Review","Business Process Management Workshops","","","","10.1007/978-3-030-66498-5_9","Ivan CompagnucciFlavio CorradiniFabrizio FornariAndrea PoliniBarbara ReFrancesco Tiezzi","2020","http://link.springer.com/chapter/10.1007/978-3-030-66498-5_9","Chapter"
"Review into State of the Art of Vulnerability Assessment using Artificial Intelligence","Guide to Vulnerability Analysis for Computer Networks and Systems","","","","10.1007/978-3-319-92624-7_1","Saad KhanSimon Parkinson","2018","http://link.springer.com/chapter/10.1007/978-3-319-92624-7_1","Chapter"
"Cloud Based Business Process Modeling Environment – The Systematic Literature Review","Recent Challenges in Intelligent Information and Database Systems","","","","10.1007/978-981-16-1685-3_34","Anna Sołtysik-PiorunkiewiczPatryk Morawiec","2021","http://link.springer.com/chapter/10.1007/978-981-16-1685-3_34","Chapter"
"Performance prediction of parallel applications: a systematic literature review","The Journal of Supercomputing","","77","4","10.1007/s11227-020-03417-5","Jesus Flores-ContrerasHector A. Duran-LimonArturo ChavoyaSergio H. Almanza-Ruiz","2021","http://link.springer.com/article/10.1007/s11227-020-03417-5","Article"
"Cloud Topology and Orchestration Using TOSCA: A Systematic Literature Review","Service-Oriented and Cloud Computing","","","","10.1007/978-3-319-99819-0_16","Julian BellendorfZoltán Ádám Mann","2018","http://link.springer.com/chapter/10.1007/978-3-319-99819-0_16","Chapter"
"Situational awareness architecture for smart grids developed in accordance with dispatcher’s thought process: a review","Frontiers of Information Technology & Electronic Engineering","","17","11","10.1631/FITEE.1601516","You-bo LiuJun-yong LiuGareth TaylorTing-jian LiuJing GouXi Zhang","2016","http://link.springer.com/article/10.1631/FITEE.1601516","Article"
"A review of smart homes in healthcare","Journal of Ambient Intelligence and Humanized Computing","","6","4","10.1007/s12652-015-0270-2","Mohsen AmiribesheliAsma BenmansourAbdelhamid Bouchachia","2015","http://link.springer.com/article/10.1007/s12652-015-0270-2","Article"
"Hybrid value creation: a systematic review of an evolving research area","Journal für Betriebswirtschaft","","61","1","10.1007/s11301-011-0070-5","Vivek K. VelamuriAnne-Katrin NeyerKathrin M. Möslein","2011","http://link.springer.com/article/10.1007/s11301-011-0070-5","Article"
"Review of Prominent IFs and the Need for Re-conceptualization","Organizational Interoperability in E-Government","","","","10.1007/978-3-642-22502-4_3","Herbert KubicekRalf CimanderHans Jochen Scholl","2011","http://link.springer.com/chapter/10.1007/978-3-642-22502-4_3","Chapter"
"A state of the art review of intelligent scheduling","Artificial Intelligence Review","","53","1","10.1007/s10462-018-9667-6","Mohammad Hossein Fazel ZarandiAli Akbar Sadat AslShahabeddin SotudianOscar Castillo","2020","http://link.springer.com/article/10.1007/s10462-018-9667-6","Article"
"A Review of Applications, Security and Challenges of Internet of Medical Things","Cognitive Internet of Medical Things for Smart Healthcare","","","","10.1007/978-3-030-55833-8_1","Shashank KumarArjit Kaur AroraParth GuptaBaljit Singh Saini","2021","http://link.springer.com/chapter/10.1007/978-3-030-55833-8_1","Chapter"
"Information technology adoption: a review of the literature and classification","Universal Access in the Information Society","","17","2","10.1007/s10209-017-0534-z","Maryam Salahshour RadMehrbakhsh NilashiHalina Mohamed Dahlan","2018","http://link.springer.com/article/10.1007/s10209-017-0534-z","Article"
"Autonomous VOs management based on industry 4.0: a systematic literature review","Journal of Intelligent Manufacturing","","","","10.1007/s10845-021-01850-8","Cindy-Pamela LopezJose AguilarMarco Santorum","2021","http://link.springer.com/article/10.1007/s10845-021-01850-8","Article"
"A Review Towards the Development of Ontology Based Identity and Access Management Metamodel","Web, Artificial Intelligence and Network Applications","","","","10.1007/978-3-030-44038-1_21","Kamrun NaharAsif Qumer Gill","2020","http://link.springer.com/chapter/10.1007/978-3-030-44038-1_21","Chapter"
"GDPR and Systems for Health Behavior Change: A Systematic Review","Persuasive Technology. Designing for Future Change","","","","10.1007/978-3-030-45712-9_18","Eunice Eno Yaa Frimponmaa AgyeiHarri Oinas-Kukkonen","2020","http://link.springer.com/chapter/10.1007/978-3-030-45712-9_18","Chapter"
"Selecting a Notation to Modeling Business Process: A Systematic Literature Review of Technics and Tools","Advances in Production Management Systems. Initiatives for a Sustainable World","","","","10.1007/978-3-319-51133-7_24","Marcelo Bernardino AraújoRodrigo Franco Gonçalves","2016","http://link.springer.com/chapter/10.1007/978-3-319-51133-7_24","Chapter"
"Analysis of Different Detection and Mitigation Algorithm of DDoS Attack in Software-Defined Internet of Things Framework: A Review","Recent Trends and Advances in Artificial Intelligence and Internet of Things","","","","10.1007/978-3-030-32644-9_39","Naveen KumarNitin MittalPalak ThakurRajshree Srivastava","2020","http://link.springer.com/chapter/10.1007/978-3-030-32644-9_39","Chapter"
"Cyber Mission Operations: A Literature Review","17th International Conference on Information Technology–New Generations (ITNG 2020)","","","","10.1007/978-3-030-43020-7_5","Rogerio WinterRodrigo RuizFerrucio de Franco RosaMario Jino","2020","http://link.springer.com/chapter/10.1007/978-3-030-43020-7_5","Chapter"
"A Review of Horizontal Fragmentation Methods Considering Multimedia Data and Dynamic Access Patterns","New Perspectives in Software Engineering","","","","10.1007/978-3-030-89909-7_6","Abraham Castillo-GarcíaLisbeth Rodríguez-MazahuaFelipe Castro-MedinaBeatriz A. Olivares-ZepahuaMaría A. Abud-Figueroa","2022","http://link.springer.com/chapter/10.1007/978-3-030-89909-7_6","Chapter"
"Human-centred design in industry 4.0: case study review and opportunities for future research","Journal of Intelligent Manufacturing","","33","1","10.1007/s10845-021-01796-x","Hien Nguyen NgocGanix LasaIon Iriarte","2022","http://link.springer.com/article/10.1007/s10845-021-01796-x","Article"
"Literature review and prospect of the development and application of FMEA in manufacturing industry","The International Journal of Advanced Manufacturing Technology","","112","5 - 6","10.1007/s00170-020-06425-0","Zhongyi WuWeidong LiuWenbin Nie","2021","http://link.springer.com/article/10.1007/s00170-020-06425-0","Article"
"Context-Aware Middleware: A Review","Context in Computing","","","","10.1007/978-1-4939-1887-4_6","Hamed Vahdat-Nejad","2014","http://link.springer.com/chapter/10.1007/978-1-4939-1887-4_6","Chapter"
"Search. Review. Repeat? An empirical study of threats to replicating SLR searches","Empirical Software Engineering","","25","1","10.1007/s10664-019-09763-0","Jacob KrügerChristian LausbergerIvonne von Nostitz-WallwitzGunter SaakeThomas Leich","2020","http://link.springer.com/article/10.1007/s10664-019-09763-0","Article"
